"job_no","job_date","job_type","job_status","property_id","room_level","room_name","line_id","alarm_required","alarm_brand","alarm_grade","alarm_interconnected","alarm_power","alarm_type","alarm_status","alarm_action","alarm_reason","expiry_year","expiry_month","image_id","image_name","image_type","image_status","decline_reason"
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 1",1879946,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Replace (New Alarm)","Faulty","2034","6",2365310,"741243435-smokealarm-bedroom-1.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 1",1879946,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Replace (New Alarm)","Faulty","2034","6",2365311,"741243492-smokealarm-bedroom-1.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 1",1879946,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Replace (New Alarm)","Faulty","2034","6",2365312,"741243498-smokealarm-bedroom-1.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 2",1879947,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365313,"741243538-smokealarm-bedroom-2.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 2",1879947,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365314,"741243556-smokealarm-bedroom-2.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 2",1879947,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365315,"741243560-smokealarm-bedroom-2.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 4",1879949,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365319,"741243884-smokealarm-bedroom-4.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 4",1879949,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365320,"741243902-smokealarm-bedroom-4.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 4",1879949,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365321,"741243906-smokealarm-bedroom-4.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Hall - O/S Bedroom/s",1879950,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365323,"741243965-smokealarm-hall---o-s-bedroom-s.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Hall - O/S Bedroom/s",1879950,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365324,"741243969-smokealarm-hall---o-s-bedroom-s.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Hall - O/S Bedroom/s",1879950,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365322,"741243945-smokealarm-hall---o-s-bedroom-s.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Hall - O/S Bedroom/s *",1879952,"RFC","Voltex","Standard","R/F","LV","LT P/E","Compliant","Serviced Alarm","","2030","6",2365328,"741244092-smokealarm-hall---o-s-bedroom-s-_.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Hall - O/S Bedroom/s *",1879952,"RFC","Voltex","Standard","R/F","LV","LT P/E","Compliant","Serviced Alarm","","2030","6",2365329,"741244146-smokealarm-hall---o-s-bedroom-s-_.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Hall - O/S Bedroom/s *",1879952,"RFC","Voltex","Standard","R/F","LV","LT P/E","Compliant","Serviced Alarm","","2030","6",2365330,"741244151-smokealarm-hall---o-s-bedroom-s-_.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 6",1879954,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365334,"741244253-smokealarm-bedroom-6.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 6",1879954,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365335,"741244265-smokealarm-bedroom-6.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 6",1879954,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365336,"741244271-smokealarm-bedroom-6.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Outside Bedroom",1879955,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365337,"741244768-smokealarm-outside-bedroom.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Outside Bedroom",1879955,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365338,"741244787-smokealarm-outside-bedroom.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Outside Bedroom",1879955,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365339,"741244791-smokealarm-outside-bedroom.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Entrance",1879956,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365340,"741244852-smokealarm-entrance.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Entrance",1879956,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365341,"741244864-smokealarm-entrance.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Entrance",1879956,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365342,"741244871-smokealarm-entrance.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Stairs - Top",1879951,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365325,"741244037-smokealarm-stairs---top.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Stairs - Top",1879951,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365326,"741244051-smokealarm-stairs---top.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Stairs - Top",1879951,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365327,"741244054-smokealarm-stairs---top.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 5",1879953,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365331,"741244199-smokealarm-bedroom-5.jpg","Images","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 5",1879953,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365332,"741244210-smokealarm-bedroom-5.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"1st Floor","Bedroom 5",1879953,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2032","6",2365333,"741244214-smokealarm-bedroom-5.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 3",1879948,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Install (New Alarm)","QLD 2022","2024","6",2365316,"741243799-smokealarm-bedroom-3.jpg","Images","Declined","Blurry image"
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 3",1879948,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Install (New Alarm)","QLD 2022","2024","6",2365317,"741243811-smokealarm-bedroom-3.jpg","ExpiryImages","Approved",""
799844,"2024-06-28","Lease Service","Compliant",144255,"GF/Entrance","Bedroom 3",1879948,"RFC","Voltex","Standard","R/F","9V","LT P/E","Compliant","Install (New Alarm)","QLD 2022","2024","6",2365318,"741243815-smokealarm-bedroom-3.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Entrance - O/S Bedroom/s",1929520,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","4",2466595,"745998912-smokealarm-entrance---o-s-bedroom-s.jpg","Images","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Entrance - O/S Bedroom/s",1929520,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","4",2466596,"745998929-smokealarm-entrance---o-s-bedroom-s.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Entrance - O/S Bedroom/s",1929520,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","4",2466597,"745998935-smokealarm-entrance---o-s-bedroom-s.jpg","ExpiryImages","Declined","No alarm present"
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 2",1929521,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466598,"745999029-smokealarm-bedroom-2.jpg","Images","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 2",1929521,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466599,"745999076-smokealarm-bedroom-2.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 2",1929521,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466600,"745999086-smokealarm-bedroom-2.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Hall - O/S Bedroom/s",1929522,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","5",2466601,"745998972-smokealarm-hall---o-s-bedroom-s.jpg","Images","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Hall - O/S Bedroom/s",1929522,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","5",2466602,"745998991-smokealarm-hall---o-s-bedroom-s.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Hall - O/S Bedroom/s",1929522,"RFC","Emerald Planet","Standard","R/F","LV","P/E","Compliant","Serviced Alarm","","2031","5",2466603,"745999006-smokealarm-hall---o-s-bedroom-s.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 3",1929523,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466604,"745999112-smokealarm-bedroom-3.jpg","Images","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 3",1929523,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466605,"745999127-smokealarm-bedroom-3.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 3",1929523,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466606,"745999133-smokealarm-bedroom-3.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 4",1929524,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466607,"745999222-smokealarm-bedroom-4.jpg","Images","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 4",1929524,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466608,"745999235-smokealarm-bedroom-4.jpg","ExpiryImages","Approved",""
799839,"2024-08-22","Lease Service","Compliant",129673,"GF/Entrance","Bedroom 4",1929524,"RFC","Emerald Planet","Standard","R/F","9V","LT P/E","Compliant","Serviced Alarm","","2031","7",2466609,"745999241-smokealarm-bedroom-4.jpg","ExpiryImages","Approved",""
